Today''s Date,07/24/2020,Date of Test:,07/23/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\GS_236_007A.059,Procedure,GS_236_007A.000,,SCap,1,C Rate
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time
245,0,2,8,7.488911111,0.90,0.00,0.12,0.73,D,1,7/24/2020 1:55
246,0,2,8,7.522244444,0.90,0.00,0.12,0.72,D,1,7/24/2020 1:57
247,0,2,8,7.555577778,0.91,0.00,0.12,0.72,D,1,7/24/2020 1:59
248,0,2,8,7.588911111,0.91,0.00,0.12,0.72,D,1,7/24/2020 2:01
249,0,2,8,7.622244444,0.91,0.00,0.12,0.72,D,1,7/24/2020 2:03
250,0,2,8,7.655577778,0.92,0.00,0.12,0.72,D,1,7/24/2020 2:05
251,0,2,8,7.688911111,0.92,0.00,0.12,0.72,D,1,7/24/2020 2:07
252,0,2,8,7.722244444,0.93,0.00,0.12,0.71,D,1,7/24/2020 2:09
253,0,2,8,7.755577778,0.93,0.00,0.12,0.71,D,1,7/24/2020 2:11
254,0,2,8,7.788911111,0.93,0.00,0.12,0.71,D,1,7/24/2020 2:13
255,0,2,8,7.822244444,0.94,0.00,0.12,0.71,D,1,7/24/2020 2:15
256,0,2,8,7.855577778,0.94,0.00,0.12,0.71,D,1,7/24/2020 2:17
257,0,2,8,7.888911111,0.95,0.00,0.12,0.71,D,1,7/24/2020 2:19
258,0,2,8,7.922244444,0.95,0.00,0.12,0.70,D,1,7/24/2020 2:21
259,0,2,8,7.955577778,0.95,0.00,0.12,0.70,D,1,7/24/2020 2:23
260,0,2,8,7.988911111,0.96,0.00,0.12,0.70,D,1,7/24/2020 2:25
261,0,2,8,8.022244444,0.96,0.00,0.12,0.70,D,1,7/24/2020 2:27
262,0,2,8,8.055577778,0.97,0.00,0.12,0.69,D,1,7/24/2020 2:29
263,0,2,8,8.088911111,0.97,0.00,0.12,0.69,D,1,7/24/2020 2:31
264,0,2,8,8.122244444,0.97,0.00,0.12,0.68,D,1,7/24/2020 2:33
265,0,2,8,8.155577778,0.98,0.00,0.12,0.68,D,1,7/24/2020 2:35
266,0,2,8,8.188911111,0.98,0.00,0.12,0.68,D,1,7/24/2020 2:37
267,0,2,8,8.222244444,0.99,0.00,0.12,0.67,D,1,7/24/2020 2:39
268,0,2,8,8.255577778,0.99,0.00,0.12,0.67,D,1,7/24/2020 2:41
269,0,2,8,8.288911111,0.99,0.00,0.12,0.67,D,1,7/24/2020 2:43
270,0,2,8,8.322244444,1.00,0.00,0.12,0.66,D,1,7/24/2020 2:45
271,0,2,8,8.355577778,1.00,0.00,0.12,0.66,D,1,7/24/2020 2:47
272,0,2,8,8.388911111,1.01,0.00,0.12,0.66,D,1,7/24/2020 2:49
