C:\Maccor\System\University at Buffalo # 1\Archive\MV20789-1.094,Procedure,MV207-89 Cycling.000,,SCap,1
mAmp-hr,Watt-hr,mAmps,Volts,State,ES
0.3646926831,0.00,0.30,0.02,D,1
0.3746914286,0.00,0.30,0.02,D,1
0.3846901725,0.00,0.30,0.02,D,1
0.3946889169,0.00,0.30,0.02,D,1
0.4046876480,0.00,0.30,0.01,D,1
0.4146863771,0.00,0.30,0.01,D,1
0.4246851267,0.00,0.30,0.01,D,1
0.4346838665,0.00,0.30,0.00,D,1
0.4446826147,0.00,0.30,0.00,D,1
0.4504910357,0.00,0.30,0.00,D,133
0.0000000000,0.00,0.00,0.02,R,0
0.0000000000,0.00,0.00,0.04,R,1
0.0000000000,0.00,0.00,0.04,R,1
0.0000000000,0.00,0.00,0.05,R,1
0.0000000000,0.00,0.00,0.05,R,1
0.0000000000,0.00,0.00,0.05,R,129
0.0000019163,0.00,0.30,0.07,C,0
0.0000360815,0.00,0.30,0.08,C,5
0.0001194082,0.00,0.30,0.09,C,5
0.0002960540,0.00,0.30,0.10,C,5
0.0006085155,0.00,0.30,0.11,C,5
0.0011109550,0.00,0.30,0.12,C,5
0.0017825340,0.00,0.30,0.13,C,5
0.0026607568,0.00,0.30,0.14,C,5
0.0037972823,0.00,0.30,0.15,C,5
0.0052587609,0.00,0.30,0.16,C,5
0.0070518663,0.00,0.30,0.17,C,5
0.0093224153,0.00,0.30,0.18,C,5
0.0120662421,0.00,0.30,0.19,C,5
0.0154758043,0.00,0.30,0.20,C,5
0.0195444636,0.00,0.30,0.21,C,5
0.0244605050,0.00,0.30,0.22,C,5
0.0302389517,0.00,0.30,0.23,C,5
0.0369506041,0.00,0.30,0.24,C,5
0.0449195938,0.00,0.30,0.25,C,5
0.0538309678,0.00,0.30,0.26,C,5
0.0633547600,0.00,0.30,0.27,C,5
0.0733534988,0.00,0.30,0.28,C,1
0.0833522339,0.00,0.30,0.29,C,1
0.0933509651,0.00,0.30,0.30,C,1
0.1033496989,0.00,0.30,0.31,C,1
0.1133484292,0.00,0.30,0.32,C,1
0.1233471660,0.00,0.30,0.33,C,1
0.1333459000,0.00,0.30,0.33,C,1
0.1433446401,0.00,0.30,0.34,C,1
0.1533433642,0.00,0.30,0.35,C,1
0.1633421094,0.00,0.30,0.36,C,1
0.1733408480,0.00,0.30,0.37,C,1
0.1833395845,0.00,0.30,0.38,C,1
0.1933383233,0.00,0.30,0.39,C,1
