Today''s Date,06/26/2020,Date of Test:,06/24/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\GS_211_176A.062,Procedure,GS_211_176A.000,,SCap,1,C Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,0,2,2,2.348761111,0.798438,0.00,0.34,0.82,D,1,6/24/2020 16:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,2,2,2.365427778,0.804104,0.00,0.34,0.82,D,1,6/24/2020 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0,2,2,2.382094444,0.809769,0.00,0.34,0.82,D,1,6/24/2020 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,0,2,2,2.398761111,0.815435,0.00,0.34,0.82,D,1,6/24/2020 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,0,2,2,2.415427778,0.821101,0.00,0.34,0.82,D,1,6/24/2020 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,0,2,3,2.432094444,0.826766,0.00,0.34,0.82,D,1,6/24/2020 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,0,2,3,2.448761111,0.832432,0.00,0.34,0.82,D,1,6/24/2020 16:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0,2,3,2.465427778,0.838098,0.00,0.34,0.82,D,1,6/24/2020 16:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0,2,3,2.482094444,0.843763,0.00,0.34,0.82,D,1,6/24/2020 16:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,0,2,3,2.498761111,0.849429,0.00,0.34,0.82,D,1,6/24/2020 16:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0,2,3,2.515427778,0.855095,0.00,0.34,0.82,D,1,6/24/2020 16:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0,2,3,2.532094444,0.860761,0.00,0.34,0.81,D,1,6/24/2020 16:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0,2,3,2.548761111,0.866426,0.00,0.34,0.81,D,1,6/24/2020 16:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,0,2,3,2.565427778,0.872092,0.00,0.34,0.81,D,1,6/24/2020 16:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,0,2,3,2.582094444,0.877758,0.00,0.34,0.81,D,1,6/24/2020 16:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,0,2,3,2.598761111,0.883423,0.00,0.34,0.81,D,1,6/24/2020 16:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,0,2,3,2.615427778,0.889089,0.00,0.34,0.81,D,1,6/24/2020 16:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0,2,3,2.632094444,0.894755,0.00,0.34,0.81,D,1,6/24/2020 16:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
